researcher,speaker,trial,typicality,colour_en,object_en,trial_number
Anya,HW,12,typical,yellow,lemon,1
Margaux,HW,15,medium,brown,banana,1
Garik,HW,17,typical,orange,mandarine,1
Garik,HW,21,atypical,orange,grapes,1
Margaux,HW,23,typical,brown,walnut,1
Garik,HW,25,medium,orange,potatoes,1
Margaux,HW,29,atypical,brown,pepper,1
Anya,HW,32,medium,yellow,peas,1
Sasha,HW,33,atypical,green,carrots,1
Margaux,HW,36,atypical,red,cucumber,2
Sasha,HW,38,medium,green,tomato,2
Sasha,HW,41,typical,green,beans,2
Anya,HW,42,atypical,yellow,cherry,2
Margaux,HW,44,typical,red,strawberry,2
Margaux,HW,46,medium,red,apricot,2
Anya,HW,47,typical,yellow,lemon,2
Margaux,HW,50,medium,brown,banana,2
Garik,HW,52,typical,orange,mandarine,2
Garik,HW,56,atypical,orange,grapes,2
Margaux,HW,58,typical,brown,walnut,2
Garik,HW,60,medium,orange,potatoes,2
Margaux,HW,64,atypical,brown,pepper,2
Anya,HW,67,medium,yellow,peas,2
Sasha,HW,68,atypical,green,carrots,2
Sasha,IB,2,medium,green,tomato,1
Anya,IB,7,typical,yellow,lemon,1
Garik,IB,9,medium,brown,banana,1
Anya,IB,12,medium,yellow,peas,1
Margaux,IB,14,atypical,red,cucumber,1
Garik,IB,18,atypical,orange,grapes,1
Garik,IB,19,atypical,brown,pepper,1
Margaux,IB,21,typical,red,strawberry,1
Garik,IB,23,typical,brown,walnut,1
Anya,IB,24,atypical,yellow,cherry,1
Sasha,IB,27,typical,green,beans,1
Garik,IB,29,typical,orange,mandarine,1
Margaux,IB,31,medium,red,apricot,1
Sasha,IB,34,atypical,green,carrots,1
Garik,IB,35,medium,orange,potatoes,1
Sasha,IB,37,medium,green,tomato,2
Anya,IB,42,typical,yellow,lemon,2
Garik,IB,44,medium,brown,banana,2
Anya,IB,47,medium,yellow,peas,2
Margaux,IB,49,atypical,red,cucumber,2
Garik,IB,53,atypical,orange,grapes,2
Garik,IB,54,atypical,brown,pepper,2
Margaux,IB,56,typical,red,strawberry,2
Garik,IB,58,typical,brown,walnut,2
Anya,IB,59,atypical,yellow,cherry,2
Sasha,IB,62,typical,green,beans,2
Garik,IB,64,typical,orange,mandarine,2
Margaux,IB,66,medium,red,apricot,2
Sasha,IB,69,atypical,green,carrots,2
Garik,IB,70,medium,orange,potatoes,2
Garik,IP,1,medium,orange,potatoes,1
Garik,IP,3,typical,orange,mandarine,1
Margaux,IP,5,typical,red,strawberry,1
Sasha,IP,7,typical,green,beans,1
Anya,IP,10,medium,yellow,peas,1
Anya,IP,11,medium,brown,banana,1
Sasha,IP,14,atypical,green,carrots,1
Anya,IP,15,atypical,yellow,cherry,1
Garik,IP,17,atypical,orange,grapes,1
Anya,IP,19,typical,yellow,lemon,1
Margaux,IP,20,atypical,red,cucumber,1
Sasha,IP,27,medium,green,tomato,1
Margaux,IP,31,medium,red,apricot,1
Anya,IP,32,atypical,brown,pepper,1
Anya,IP,34,typical,brown,walnut,1
Garik,IP,36,medium,orange,potatoes,2
Garik,IP,38,typical,orange,mandarine,2
Margaux,IP,40,typical,red,strawberry,2
Sasha,IP,42,typical,green,beans,2
Anya,IP,45,medium,yellow,peas,2
Anya,IP,46,medium,brown,banana,2
Sasha,IP,49,atypical,green,carrots,2
Anya,IP,50,atypical,yellow,cherry,2
Garik,IP,52,atypical,orange,grapes,2
Anya,IP,54,typical,yellow,lemon,2
Margaux,IP,55,atypical,red,cucumber,2
Sasha,IP,62,medium,green,tomato,2
Margaux,IP,66,medium,red,apricot,2
Anya,IP,67,atypical,brown,pepper,2
Anya,IP,69,typical,brown,walnut,2
Garik,IS,4,atypical,brown,pepper,1
Anya,IS,6,medium,yellow,peas,1
Anya,IS,8,atypical,yellow,cherry,1
Garik,IS,11,medium,brown,banana,1
Sasha,IS,14,typical,green,beans,1
Garik,IS,15,medium,orange,potatoes,1
Sasha,IS,17,atypical,green,carrots,1
Garik,IS,19,typical,brown,walnut,1
Margaux,IS,22,medium,red,apricot,1
Garik,IS,26,atypical,orange,grapes,1
Margaux,IS,28,typical,red,strawberry,1
Anya,IS,29,typical,yellow,lemon,1
Margaux,IS,31,atypical,red,cucumber,1
Garik,IS,33,typical,orange,mandarine,1
Sasha,IS,35,medium,green,tomato,1
Garik,IS,39,atypical,brown,pepper,2
Anya,IS,41,medium,yellow,peas,2
Anya,IS,43,atypical,yellow,cherry,2
Garik,IS,46,medium,brown,banana,2
Sasha,IS,49,typical,green,beans,2
Garik,IS,50,medium,orange,potatoes,2
Sasha,IS,52,atypical,green,carrots,2
Garik,IS,54,typical,brown,walnut,2
Margaux,IS,57,medium,red,apricot,2
Garik,IS,61,atypical,orange,grapes,2
Margaux,IS,63,typical,red,strawberry,2
Anya,IS,64,typical,yellow,lemon,2
Margaux,IS,66,atypical,red,cucumber,2
Garik,IS,68,typical,orange,mandarine,2
Sasha,IS,70,medium,green,tomato,2
Anya,JB,3,typical,brown,walnut,1
Anya,JB,5,atypical,brown,pepper,1
Anya,JB,8,typical,yellow,lemon,1
Margaux,JB,9,medium,red,apricot,1
Garik,JB,11,medium,orange,potatoes,1
Anya,JB,12,atypical,yellow,cherry,1
Garik,JB,16,typical,orange,mandarine,1
Garik,JB,18,atypical,orange,grapes,1
Anya,JB,20,medium,brown,banana,1
Sasha,JB,23,medium,green,tomato,1
Margaux,JB,24,atypical,red,cucumber,1
Sasha,JB,27,atypical,green,carrots,1
Anya,JB,30,medium,yellow,peas,1
Margaux,JB,32,typical,red,strawberry,1
Sasha,JB,34,typical,green,beans,1
Anya,JB,38,typical,brown,walnut,2
Anya,JB,40,atypical,brown,pepper,2
Anya,JB,43,typical,yellow,lemon,2
Margaux,JB,44,medium,red,apricot,2
Garik,JB,46,medium,orange,potatoes,2
Anya,JB,47,atypical,yellow,cherry,2
Garik,JB,51,typical,orange,mandarine,2
Garik,JB,53,atypical,orange,grapes,2
Anya,JB,55,medium,brown,banana,2
Sasha,JB,58,medium,green,tomato,2
Margaux,JB,59,atypical,red,cucumber,2
Sasha,JB,62,atypical,green,carrots,2
Anya,JB,65,medium,yellow,peas,2
Margaux,JB,67,typical,red,strawberry,2
Sasha,JB,69,typical,green,beans,2
Sasha,JH,1,atypical,brown,pepper,1
Margaux,JH,3,typical,red,strawberry,1
Anya,JH,6,typical,yellow,lemon,1
Anya,JH,9,atypical,yellow,cherry,1
Sasha,JH,10,medium,brown,banana,1
Garik,JH,12,medium,orange,potatoes,1
Sasha,JH,14,typical,brown,walnut,1
Sasha,JH,18,atypical,green,carrots,1
Garik,JH,21,typical,orange,mandarine,1
Anya,JH,24,medium,yellow,peas,1
Garik,JH,25,atypical,orange,grapes,1
Margaux,JH,28,atypical,red,cucumber,1
Margaux,JH,31,medium,red,apricot,1
Sasha,JH,33,typical,green,beans,1
Sasha,JH,35,medium,green,tomato,1
Sasha,JH,36,atypical,brown,pepper,2
Margaux,JH,38,typical,red,strawberry,2
Anya,JH,41,typical,yellow,lemon,2
Anya,JH,44,atypical,yellow,cherry,2
Sasha,JH,45,medium,brown,banana,2
Garik,JH,47,medium,orange,potatoes,2
Sasha,JH,49,typical,brown,walnut,2
Sasha,JH,53,atypical,green,carrots,2
Garik,JH,56,typical,orange,mandarine,2
Anya,JH,59,medium,yellow,peas,2
Garik,JH,60,atypical,orange,grapes,2
Margaux,JH,63,atypical,red,cucumber,2
Margaux,JH,66,medium,red,apricot,2
Sasha,JH,68,typical,green,beans,2
Sasha,JH,70,medium,green,tomato,2
Sasha,JK,2,atypical,green,carrots,1
Anya,JK,4,typical,yellow,lemon,1
Margaux,JK,5,atypical,red,cucumber,1
Anya,JK,8,atypical,yellow,cherry,1
Sasha,JK,12,medium,green,tomato,1
Garik,JK,14,medium,orange,potatoes,1
Anya,JK,16,medium,yellow,peas,1
Sasha,JK,17,typical,brown,walnut,1
Margaux,JK,19,medium,red,apricot,1
Sasha,JK,21,atypical,brown,pepper,1
Sasha,JK,25,typical,green,beans,1
Sasha,JK,30,medium,brown,banana,1
Garik,JK,31,atypical,orange,grapes,1
Margaux,JK,33,typical,red,strawberry,1
Garik,JK,35,typical,orange,mandarine,1
Sasha,JK,37,atypical,green,carrots,2
Anya,JK,39,typical,yellow,lemon,2
Margaux,JK,40,atypical,red,cucumber,2
Anya,JK,43,atypical,yellow,cherry,2
Sasha,JK,47,medium,green,tomato,2
Garik,JK,49,medium,orange,potatoes,2
Anya,JK,51,medium,yellow,peas,2
Sasha,JK,52,typical,brown,walnut,2
Margaux,JK,54,medium,red,apricot,2
Sasha,JK,56,atypical,brown,pepper,2
Sasha,JK,60,typical,green,beans,2
Sasha,JK,65,medium,brown,banana,2
Garik,JK,66,atypical,orange,grapes,2
Margaux,JK,68,typical,red,strawberry,2
Garik,JK,70,typical,orange,mandarine,2
Anya,JN,2,medium,yellow,peas,1
Sasha,JN,4,atypical,green,carrots,1
Margaux,JN,5,typical,red,strawberry,1
Margaux,JN,10,medium,red,apricot,1
Margaux,JN,13,typical,brown,walnut,1
Garik,JN,15,atypical,orange,grapes,1
Margaux,JN,17,atypical,red,cucumber,1
Margaux,JN,19,medium,brown,banana,1
Margaux,JN,21,atypical,brown,pepper,1
Garik,JN,22,typical,orange,mandarine,1
Anya,JN,24,atypical,yellow,cherry,1
Garik,JN,26,medium,orange,potatoes,1
